customer_id,name,email,age,gender,region,country,city,income,registration_date,segment,preferred_payment,preferred_device,total_purchases,newsletter_subscription,loyalty_points
CUST00001,Brian Yang,johnsonjoshua@example.org,65.0,Female,North America,USA,New Roberttown,92097,2023-04-25,Returning,Debit Card,Desktop,87,True,9674
CUST00002,Michelle Miles,robinsonwilliam@example.org,19.0,Female,Latin America,Brazil,Robinsonshire,44561,2023-05-22,Dormant,Google Pay,Desktop,72,True,8928
CUST00003,Donald Lewis,lisa02@example.net,46.0,Male,Latin America,Argentina,Curtisfurt,174472,2023-03-22,Loyal,Gift Card,Mobile,90,False,5574
CUST00004,Monica Herrera,howardmaurice@example.com,31.0,Male,Asia Pacific,Japan,Millerport,108236,2023-09-18,Returning,Apple Pay,Desktop,46,False,9891
CUST00005,Dylan Miller,barbara10@example.net,64.0,Male,Asia Pacific,China,Port Craig,140435,2022-06-30,New,Apple Pay,Desktop,71,False,5925
CUST00006,Michael Miles,shawn52@example.com,63.0,Female,Middle East & Africa,South Africa,New Cynthiaside,38233,2023-11-15,New,Gift Card,Tablet,11,True,1654
CUST00007,Colleen Nguyen,frankgray@example.net,47.0,Female,Latin America,Colombia,East Lydiamouth,186640,2022-12-23,New,PayPal,Tablet,27,False,1169
CUST00008,Emily Rios,nadams@example.net,52.0,,Middle East & Africa,South Africa,Wilkersonmouth,84175,2023-07-17,VIP,Apple Pay,Tablet,82,True,5313
CUST00009,Nicole Patterson,josephwright@example.net,70.0,,North America,USA,Coxberg,28414,2023-02-11,Loyal,PayPal,Desktop,28,False,3483
CUST00010,Christopher Becker,ddavis@example.org,74.0,Female,Latin America,Chile,South Patrickmouth,188519,2022-09-18,Loyal,PayPal,Mobile,32,False,9577
CUST00011,Nicole Mack,tasha01@example.net,41.0,,Latin America,Chile,Danielchester,77493,2023-08-12,New,Credit Card,Desktop,15,True,2621
CUST00012,Jonathan White,shawnmckay@example.net,42.0,,Latin America,Brazil,Port Colleenhaven,120039,2022-04-30,Dormant,Google Pay,Tablet,71,True,1876
CUST00013,Tammy Sellers,ericfarmer@example.net,67.0,Male,Middle East & Africa,Egypt,Tracyville,188024,2023-01-17,VIP,PayPal,App,21,False,53
CUST00014,Keith Miller,natasha43@example.org,66.0,Male,Asia Pacific,India,Cabreraside,66832,2022-07-30,New,Gift Card,Tablet,82,True,2504
CUST00015,Joseph Obrien,davidalvarez@example.net,52.0,Other,Asia Pacific,Japan,New Karina,159029,2023-12-31,New,Apple Pay,Desktop,15,False,5038
CUST00016,Jessica Holmes,jenniferross@example.net,33.0,Male,Europe,UK,East Jeffreymouth,168729,2023-10-12,New,Bank Transfer,App,9,True,2103
CUST00017,Michael Brown,chapmanjerry@example.org,34.0,,Latin America,Argentina,North Micheleland,158326,2022-04-19,Returning,Debit Card,Mobile,92,False,6537
CUST00018,Timothy Duncan,joshuawashington@example.net,75.0,Male,Asia Pacific,Australia,Sanchezfort,155679,2022-09-25,Returning,Debit Card,Mobile,9,False,344
CUST00019,Jeff Owens,glee@example.net,55.0,Male,Middle East & Africa,South Africa,Lake Deniseville,77728,2023-12-24,Returning,Bank Transfer,Desktop,30,True,514
CUST00020,Connor West,powellmatthew@example.org,50.0,,Asia Pacific,China,Whitemouth,82391,2023-03-21,New,Debit Card,Mobile,93,False,3981
CUST00021,Matthew Fernandez,nancyjones@example.net,30.0,,Latin America,Chile,North Sarabury,44726,2023-09-23,Loyal,PayPal,App,53,False,887
CUST00022,Carmen Smith,richardolson@example.com,43.0,Female,North America,USA,Bakermouth,108946,2023-09-11,New,Debit Card,Mobile,69,False,2296
CUST00023,Daniel Brown,rodney87@example.org,35.0,Male,Latin America,Argentina,Lake Leeton,141275,2023-04-20,New,Apple Pay,Desktop,7,True,1528
CUST00024,Jordan York,hshaw@example.org,44.0,Female,Europe,Germany,New Carlosbury,147307,2022-08-26,Returning,Gift Card,App,8,True,6209
CUST00025,Amanda Miller,kwilson@example.org,34.0,,North America,Canada,Sarahborough,139277,2023-03-14,Returning,Bank Transfer,App,20,True,4861
CUST00026,Joyce Hickman,john62@example.net,55.0,Other,Europe,UK,North Stephenshire,162133,2023-10-30,Loyal,Credit Card,Desktop,75,False,8238
CUST00027,Gregory Jones,jonesjason@example.com,21.0,Female,Middle East & Africa,South Africa,West Justin,153124,2023-10-10,New,Credit Card,Desktop,87,True,6615
CUST00028,Victoria Valdez,tbass@example.com,33.0,Male,North America,Mexico,Lake Lisaport,171760,2022-05-02,Returning,Google Pay,Desktop,54,False,4272
CUST00029,Natalie Moore,mcmillandennis@example.org,63.0,Other,Europe,Netherlands,Cassandramouth,102361,2023-05-01,Returning,Apple Pay,Mobile,86,False,7491
CUST00030,Taylor Mathis Jr.,gracefarrell@example.net,114.0,Male,Asia Pacific,China,Calderonton,182833,2022-06-03,New,Credit Card,Mobile,65,False,2170
CUST00031,Jeremy Thornton,cookdavid@example.com,74.0,Other,Asia Pacific,China,North Charlesberg,84037,2022-12-18,Loyal,Debit Card,App,70,False,8666
CUST00032,Andrew Diaz,davenportbrandi@example.org,70.0,Male,North America,Mexico,West Jasonbury,165385,2023-02-28,New,Debit Card,Tablet,15,True,9064
CUST00033,Nicole Frost,gomezanita@example.com,36.0,Other,Europe,France,Port Francisco,178552,2023-05-30,New,Debit Card,Tablet,65,False,4114
CUST00034,Rachel Jenkins,nicolejohnson@example.net,58.0,Male,North America,USA,West Erik,131037,2023-03-23,At Risk,Credit Card,Tablet,99,True,4291
CUST00035,Robert Stevens,reyesbenjamin@example.com,46.0,,Europe,Netherlands,Loribury,164619,2022-01-08,Dormant,Google Pay,Desktop,15,True,2442
CUST00036,Benjamin Ayala,andrewlee@example.com,71.0,Female,Middle East & Africa,UAE,Darlenefurt,116787,2022-05-14,VIP,Apple Pay,Mobile,6,False,5974
CUST00037,Victoria Johnson,sheila14@example.org,31.0,Male,North America,Canada,Reedmouth,198799,2023-04-20,Returning,PayPal,App,80,True,3878
CUST00038,Kenneth Scott,gobrien@example.org,74.0,Female,Europe,Germany,Smithside,128080,2023-12-06,New,Bank Transfer,Tablet,53,True,4371
CUST00039,Lisa Alvarado,michaeljones@example.net,24.0,,Europe,Netherlands,Lake Rachelhaven,120281,2023-11-22,Loyal,Debit Card,Mobile,59,False,5000
CUST00040,Cameron Fisher,elizabeth56@example.net,19.0,,Europe,Germany,Byrdburgh,193023,2023-06-17,Returning,PayPal,Tablet,9,False,5753
CUST00041,Richard Lawson,richard04@example.com,61.0,Male,Middle East & Africa,Saudi Arabia,Stevenmouth,160565,2023-01-26,New,Credit Card,Tablet,23,False,626
CUST00042,Bradley Robertson,williamleon@example.net,45.0,,North America,Mexico,Clarencebury,110619,2023-02-13,Returning,Google Pay,Desktop,50,True,4173
CUST00043,William Carr,jeffrey32@example.org,45.0,Female,North America,Mexico,South Robertshire,20443,2022-07-17,New,PayPal,App,9,False,5143
CUST00044,Matthew Smith,jennifercruz@example.com,75.0,Other,North America,Mexico,Port Ronaldburgh,98727,2022-07-30,At Risk,Bank Transfer,App,42,False,4844
CUST00045,Robert Contreras,pwilliams@example.org,30.0,,Middle East & Africa,South Africa,Stephaniemouth,130217,2022-02-19,New,Bank Transfer,Mobile,79,False,6653
CUST00046,Natasha Wells,jrivas@example.com,37.0,,Middle East & Africa,UAE,Karenview,95212,2023-05-30,Loyal,Gift Card,Tablet,60,False,7244
CUST00047,Dustin Nelson,rsims@example.com,48.0,Male,Europe,Spain,Patricialand,64483,2022-02-25,Returning,PayPal,Tablet,12,True,5085
CUST00048,Amy Russell,edwardreyes@example.org,27.0,Female,Europe,Germany,Perryborough,26402,2023-11-14,Returning,Apple Pay,Desktop,59,False,9431
CUST00049,Alicia Gilmore,xprice@example.net,62.0,,Europe,Netherlands,Woodsstad,120657,2022-08-12,Returning,Debit Card,Mobile,84,True,1746
CUST00050,Rebecca Hurst,karen68@example.net,,,Latin America,Argentina,Robinsonchester,66107,2022-01-18,New,Credit Card,Mobile,16,False,2184
CUST00051,Jennifer Martin,vjohnson@example.net,66.0,,Latin America,Colombia,Calhounside,136017,2022-04-13,Dormant,Gift Card,App,21,False,7373
CUST00052,Marvin Taylor,meadowsbrittany@example.net,71.0,,Asia Pacific,Japan,Whiteview,187159,2023-03-23,Loyal,Bank Transfer,Mobile,36,False,1269
CUST00053,Shawn Ramirez,dmurphy@example.com,35.0,Male,Asia Pacific,Japan,Kingland,108040,2023-02-07,At Risk,Debit Card,Mobile,30,False,2503
CUST00054,Mrs. Marie Harrington DDS,ismith@example.org,44.0,,Europe,UK,East Jamestown,126849,2023-01-27,VIP,Apple Pay,Desktop,27,False,6381
CUST00055,Claudia Lyons,johnwells@example.org,72.0,,Middle East & Africa,UAE,Garyville,170913,2022-12-07,Returning,Credit Card,Tablet,39,False,6865
CUST00056,Laura Odonnell,tamirodriguez@example.org,49.0,,Middle East & Africa,South Africa,Sandersborough,77520,2023-03-27,At Risk,Apple Pay,Desktop,50,False,6624
CUST00057,Raymond Jefferson,vargasmaria@example.org,26.0,Male,Europe,Italy,Port Tonyaton,183120,2022-07-03,New,Apple Pay,Desktop,11,False,2223
CUST00058,Alexandria Fisher,amanda51@example.net,21.0,Other,Latin America,Argentina,Garciastad,88198,2022-12-08,New,Debit Card,App,42,False,6211
CUST00059,Tracie Nelson,bzimmerman@example.org,34.0,Male,Asia Pacific,Australia,Marshallshire,41471,2022-09-06,New,Bank Transfer,Desktop,45,True,1124
CUST00060,Dana Marshall,marcus31@example.com,106.0,Female,North America,USA,Rogersfort,25342,2022-04-04,Returning,Debit Card,Mobile,61,True,9240
CUST00061,Spencer Haynes,hunter35@example.com,62.0,Female,Europe,Italy,Angelahaven,87172,2022-12-19,Returning,Google Pay,Desktop,100,True,5096
CUST00062,Cynthia Alvarez,christophercortez@example.com,19.0,,North America,Mexico,Westtown,101777,2022-05-21,New,Apple Pay,Mobile,10,True,1669
CUST00063,Kevin Kennedy,phillipsrichard@example.org,56.0,Male,Asia Pacific,Singapore,Ronaldside,51733,2022-05-31,VIP,PayPal,App,85,False,1129
CUST00064,Bryan Lee,michael74@example.com,18.0,Male,Middle East & Africa,Egypt,Lake Amandaburgh,130115,2022-08-17,Returning,Apple Pay,Tablet,82,False,2506
CUST00065,Paige Carlson,javierwashington@example.net,64.0,Other,Latin America,Argentina,Port Jamesbury,156772,2022-03-05,New,Google Pay,App,60,False,9707
CUST00066,William Tran,harry08@example.org,72.0,Other,Asia Pacific,South Korea,Lake Miranda,84355,2023-10-04,Returning,Apple Pay,Mobile,97,False,9336
CUST00067,John Peterson,agarcia@example.net,39.0,Other,Middle East & Africa,Saudi Arabia,West Shelleyfort,27523,2022-08-12,New,Debit Card,App,28,False,4232
CUST00068,Melissa Hernandez,shortrichard@example.org,74.0,Other,Asia Pacific,South Korea,Christopherbury,176278,2022-01-12,VIP,Google Pay,Desktop,67,True,1402
CUST00069,Courtney Mills,grantrobert@example.net,44.0,Female,Europe,Netherlands,Kerrport,148077,2022-06-11,New,Bank Transfer,App,83,False,7342
